Metric,Value
Number of Sequences,68
Total Average Counts,3.03250773993808
Average Sequence Length,2.88235294117647
Average Unique AOIs,2.32352941176471
"Sequence","Sequence_Length","Unique_AOIs","Support","True_Support","Avg_Counts","Participant 6","Participant 11","Participant 16","Participant 17","Participant 18","Participant 19","Participant 21","Participant 22","Participant 24","Participant 26","Participant 28","Participant 31","Participant 33","Participant 34","Participant 35","Participant 36","Participant 40","Participant 42","Participant 46"
"<{G}>",1,1,1,1,14,3,28,17,9,14,19,3,22,24,9,3,7,6,13,15,16,14,32,12
"<{m}>",1,1,1,1,22.2105263157895,15,54,29,10,22,22,6,33,34,10,5,26,11,18,19,30,21,39,18
"<{n}>",1,1,1,1,15.6842105263158,7,25,20,9,12,21,2,19,22,6,1,20,7,16,23,27,17,30,14
"<{o}>",1,1,1,1,6.73684210526316,4,7,7,4,2,9,5,2,15,7,1,9,9,10,8,2,5,10,12
"<{m},{n}>",2,2,1,1,7.84210526315789,3,20,11,3,9,7,1,10,9,2,1,12,1,9,6,13,10,13,9
"<{G},{m}>",2,2,1,1,8.42105263157895,2,24,11,4,12,8,1,15,17,4,3,3,2,6,8,9,6,18,7
"<{o},{m}>",2,2,1,1,2.84210526315789,1,6,1,1,1,2,4,1,5,3,1,4,5,2,3,1,4,3,6
"<{m},{G}>",2,2,1,1,8.26315789473684,3,22,10,4,10,8,2,19,12,4,2,2,2,6,8,11,9,19,4
"<{E}>",1,1,0.947368421052632,0.947368421052632,9.8421052631579,9,15,12,7,4,16,2,7,16,6,0,15,8,7,19,12,5,14,13
"<{E},{n}>",2,2,0.947368421052632,0.947368421052632,3.52631578947368,1,2,4,2,1,8,1,1,6,2,0,4,1,4,12,7,2,6,3
"<{n},{m}>",2,2,0.947368421052632,0.947368421052632,7.73684210526316,5,15,11,1,9,10,1,13,9,1,0,12,2,8,4,16,11,15,4
"<{m},{G},{m}>",3,2,0.947368421052632,0.947368421052632,5.52631578947368,2,21,6,1,9,5,0,14,10,1,2,1,2,3,3,6,5,13,1
"<{n},{G}>",2,2,0.947368421052632,0.947368421052632,3,0,4,4,4,1,4,1,2,4,1,1,4,1,4,4,4,4,6,4
"<{m},{o}>",2,2,0.894736842105263,0.894736842105263,2.31578947368421,3,2,3,1,0,4,2,2,6,2,1,2,5,3,3,0,1,2,2
"<{G},{n}>",2,2,0.894736842105263,0.894736842105263,3.05263157894737,1,3,4,3,1,4,0,6,4,1,0,1,3,2,4,6,5,9,1
"<{G},{m},{n}>",3,3,0.894736842105263,0.894736842105263,2.57894736842105,1,5,2,1,5,3,1,6,3,1,0,1,0,3,4,2,2,4,5
"<{m},{E}>",2,2,0.894736842105263,0.894736842105263,3.31578947368421,5,10,5,1,2,3,1,2,6,1,0,9,2,0,1,6,1,5,3
"<{m},{n},{m}>",3,2,0.842105263157895,0.842105263157895,4.84210526315789,2,13,6,0,8,6,1,8,2,1,0,10,0,3,2,9,8,9,4
"<{n},{G},{m}>",3,3,0.842105263157895,0.842105263157895,1.42105263157895,0,3,2,3,0,1,1,1,1,1,1,1,0,2,2,3,1,2,2
"<{G},{m},{G}>",3,2,0.842105263157895,0.842105263157895,3.78947368421053,1,12,6,1,5,3,0,8,7,1,2,0,0,2,2,6,3,11,2
"<{n},{E}>",2,2,0.842105263157895,0.842105263157895,3,2,5,3,3,1,5,0,4,3,2,0,0,4,1,12,4,1,4,3
"<{E},{o}>",2,2,0.789473684210526,0.789473684210526,1.73684210526316,1,3,1,2,0,2,1,0,3,1,0,3,3,1,2,0,2,1,7
"<{E},{m}>",2,2,0.789473684210526,0.789473684210526,3.05263157894737,7,9,6,3,0,2,0,4,3,2,0,7,2,1,4,4,0,3,1
"<{E},{G}>",2,2,0.789473684210526,0.789473684210526,1.47368421052632,0,1,1,0,3,4,0,1,4,1,0,1,2,1,1,1,1,4,2
"<{n},{m},{G}>",3,3,0.789473684210526,0.789473684210526,2.26315789473684,1,2,1,1,4,3,0,7,1,0,0,1,1,4,1,4,5,7,0
"<{G},{E}>",2,2,0.789473684210526,0.789473684210526,1.73684210526316,0,0,2,2,1,5,1,1,3,2,0,3,0,1,3,1,2,3,3
"<{m},{G},{m},{n}>",4,3,0.736842105263158,0.736842105263158,1.73684210526316,1,4,2,0,3,2,0,6,2,0,0,1,0,1,3,1,2,4,1
"<{G},{m},{G},{m}>",4,2,0.736842105263158,0.736842105263158,2.68421052631579,1,12,2,0,4,2,0,6,6,0,2,0,0,1,1,3,2,8,1
"<{o},{E}>",2,2,0.736842105263158,0.736842105263158,1.73684210526316,2,0,2,1,0,3,0,0,4,1,0,2,2,5,3,1,1,2,4
"<{m},{G},{E}>",3,3,0.736842105263158,0.736842105263158,0.947368421052632,0,0,1,1,0,2,1,1,1,2,0,1,0,1,2,1,1,2,1
"<{n},{m},{n}>",3,2,0.684210526315789,0.684210526315789,3.78947368421053,0,11,8,0,4,4,0,4,6,0,0,8,0,3,1,9,5,6,3
"<{m},{G},{n}>",3,3,0.684210526315789,0.684210526315789,1.52631578947368,1,1,3,2,1,0,0,4,1,0,0,0,0,2,3,4,2,4,1
"<{o},{E},{n}>",3,3,0.684210526315789,0.684210526315789,0.947368421052632,1,0,1,0,0,1,0,0,3,1,0,1,1,3,2,1,1,1,1
"<{E},{n},{m}>",3,3,0.684210526315789,0.684210526315789,1.36842105263158,1,0,3,1,1,3,0,1,4,0,0,2,0,2,1,3,1,3,0
"<{m},{G},{m},{G}>",4,2,0.684210526315789,0.684210526315789,2.63157894736842,1,11,2,0,4,1,0,8,4,1,1,0,0,2,0,4,3,8,0
"<{n},{o}>",2,2,0.631578947368421,0.631578947368421,1.68421052631579,0,0,2,1,1,2,0,0,6,2,0,4,0,3,3,2,0,4,2
"<{G},{m},{n},{m}>",4,3,0.631578947368421,0.631578947368421,1.52631578947368,0,3,2,0,5,2,1,5,0,0,0,1,0,2,2,1,2,3,0
"<{n},{m},{n},{m}>",4,2,0.631578947368421,0.631578947368421,2.63157894736842,0,8,3,0,3,4,0,3,2,0,0,7,0,1,0,7,5,4,3
"<{n},{m},{G},{m}>",4,3,0.631578947368421,0.631578947368421,1.47368421052632,0,2,1,1,4,1,0,5,1,0,0,0,1,2,0,3,2,5,0
"<{o},{m},{G}>",3,3,0.631578947368421,0.631578947368421,1,0,3,0,1,1,0,2,0,2,2,0,1,1,0,2,1,1,0,2
"<{G},{n},{E}>",3,3,0.631578947368421,0.631578947368421,0.894736842105263,1,0,0,1,1,3,0,2,1,1,0,0,1,0,2,1,1,2,0
"<{m},{n},{E}>",3,3,0.631578947368421,0.631578947368421,1.10526315789474,1,3,3,1,0,0,0,2,2,0,0,0,1,1,3,2,0,1,1
"<{G},{m},{o}>",3,3,0.578947368421053,0.578947368421053,0.736842105263158,0,2,1,1,0,2,0,1,2,1,0,0,1,1,1,0,0,1,0
"<{o},{n}>",2,2,0.578947368421053,0.578947368421053,0.789473684210526,1,0,1,1,1,1,0,1,2,0,0,3,1,1,0,0,0,2,0
"<{G},{m},{G},{m},{n}>",5,3,0.578947368421053,0.578947368421053,0.842105263157895,1,2,0,0,1,1,0,3,1,0,0,0,0,0,1,1,1,3,1
"<{m},{n},{m},{n}>",4,2,0.578947368421053,0.578947368421053,2.21052631578947,0,9,4,0,3,3,0,2,1,0,0,6,0,0,0,4,4,3,3
"<{n},{m},{n},{m},{n}>",5,2,0.578947368421053,0.578947368421053,1.42105263157895,0,5,3,0,1,2,0,1,1,0,0,4,0,0,0,4,3,1,2
"<{n},{G},{n}>",3,2,0.578947368421053,0.578947368421053,0.684210526315789,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,2,2,0
"<{E},{o},{m}>",3,3,0.578947368421053,0.578947368421053,0.842105263157895,1,2,1,0,0,0,1,0,0,1,0,1,1,0,1,0,2,1,4
"<{m},{o},{m}>",3,2,0.578947368421053,0.578947368421053,0.894736842105263,0,2,0,0,0,2,1,1,3,0,1,1,3,1,1,0,0,1,0
"<{m},{G},{m},{G},{m}>",5,2,0.578947368421053,0.578947368421053,2,1,11,1,0,3,0,0,6,4,0,1,0,0,1,0,1,2,7,0
"<{m},{E},{m}>",3,2,0.578947368421053,0.578947368421053,1.57894736842105,5,6,3,1,0,1,0,1,1,0,0,7,1,0,0,3,0,1,0
"<{n},{E},{m}>",3,3,0.578947368421053,0.578947368421053,0.789473684210526,1,3,1,1,0,0,0,2,1,1,0,0,1,0,2,1,0,1,0
"<{o},{G}>",2,2,0.578947368421053,0.578947368421053,1.26315789473684,0,1,2,1,0,3,0,0,4,3,0,0,1,2,2,0,0,3,2
"<{m},{n},{G}>",3,3,0.578947368421053,0.578947368421053,1.10526315789474,0,3,2,1,0,0,0,0,3,0,1,1,0,3,0,1,2,1,3
"<{m},{n},{m},{G}>",4,3,0.578947368421053,0.578947368421053,1.47368421052632,0,2,1,0,4,1,0,5,0,0,0,1,0,3,1,3,3,4,0
"<{E},{m},{n}>",3,3,0.526315789473684,0.526315789473684,0.631578947368421,1,1,1,1,0,0,0,0,0,1,0,2,0,1,1,2,0,1,0
"<{G},{E},{n}>",3,3,0.526315789473684,0.526315789473684,0.736842105263158,0,0,0,1,1,3,0,0,0,1,0,2,0,1,2,1,1,1,0
"<{n},{E},{n}>",3,2,0.526315789473684,0.526315789473684,1.05263157894737,0,1,2,1,0,2,0,1,1,0,0,0,0,0,8,2,0,1,1
"<{G},{n},{m}>",3,3,0.526315789473684,0.526315789473684,1.05263157894737,0,2,1,0,0,0,0,3,1,0,0,0,1,2,1,4,2,3,0
"<{m},{G},{m},{n},{m}>",5,3,0.526315789473684,0.526315789473684,1.21052631578947,0,3,2,0,3,1,0,5,0,0,0,1,0,0,2,1,2,3,0
"<{m},{n},{m},{n},{m}>",5,2,0.526315789473684,0.526315789473684,1.78947368421053,0,7,1,0,3,3,0,2,0,0,0,5,0,0,0,3,4,3,3
"<{n},{m},{n},{m},{n},{m}>",6,2,0.526315789473684,0.526315789473684,1.10526315789474,0,4,1,0,1,2,0,1,0,0,0,3,0,0,0,3,3,1,2
"<{E},{n},{G}>",3,3,0.526315789473684,0.526315789473684,0.842105263157895,0,0,0,0,0,3,1,0,1,1,0,1,0,1,3,3,1,1,0
"<{G},{n},{G}>",3,2,0.526315789473684,0.526315789473684,0.736842105263158,0,1,2,2,0,1,0,1,0,0,0,0,1,0,1,0,1,3,1
"<{E},{m},{G}>",3,3,0.526315789473684,0.526315789473684,1.21052631578947,1,5,3,1,0,2,0,4,2,1,0,0,0,0,3,0,0,1,0
"<{m},{o},{E}>",3,3,0.526315789473684,0.526315789473684,0.578947368421053,2,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1
"<{n},{G},{E}>",3,3,0.526315789473684,0.526315789473684,0.736842105263158,0,0,1,1,1,2,0,0,2,0,0,2,0,0,1,0,1,1,2
